,FileName,EmoClass,EmoAct,EmoVal,EmoDom,SpkrID,Gender,Split_Set
199,MSP-PODCAST_0003_0434.wav,N,3.0,3.166667,4.0,3,Male,Train
200,MSP-PODCAST_0003_0435.wav,A,4.473684,1.947368,5.263158,3,Male,Train
203,MSP-PODCAST_0003_0444.wav,X,3.2,3.6,3.4,3,Male,Train
205,MSP-PODCAST_0003_0448.wav,A,4.6,2.2,5.8,3,Male,Train
207,MSP-PODCAST_0003_0470.wav,C,5.0,3.416667,5.166667,3,Male,Train
210,MSP-PODCAST_0003_0482.wav,X,6.4,4.2,6.2,3,Male,Train
229,MSP-PODCAST_0003_0540.wav,H,4.0,5.6,4.4,3,Male,Train
230,MSP-PODCAST_0003_0541.wav,N,2.8,4.0,4.2,3,Male,Train
231,MSP-PODCAST_0003_0543.wav,O,4.0,3.6,5.2,3,Male,Train
232,MSP-PODCAST_0003_0544.wav,S,4.2,3.8,4.6,3,Male,Train
233,MSP-PODCAST_0003_0547.wav,N,3.857143,4.0,4.571429,3,Male,Train
234,MSP-PODCAST_0003_0548.wav,X,3.2,3.0,3.4,3,Male,Train
235,MSP-PODCAST_0003_0552.wav,X,4.0,4.666667,4.0,3,Male,Train
236,MSP-PODCAST_0003_0554.wav,N,3.8,3.0,4.2,3,Male,Train
237,MSP-PODCAST_0003_0555.wav,X,3.8,3.4,4.6,3,Male,Train
238,MSP-PODCAST_0003_0556.wav,X,3.8,3.0,4.8,3,Male,Train
239,MSP-PODCAST_0003_0575.wav,N,4.6,4.4,4.4,3,Male,Train
240,MSP-PODCAST_0003_0583.wav,N,3.722222,3.0,4.111111,3,Male,Train
241,MSP-PODCAST_0003_0584.wav,N,3.2,4.0,4.4,3,Male,Train
242,MSP-PODCAST_0003_0588.wav,S,2.8,3.2,4.0,3,Male,Train
243,MSP-PODCAST_0003_0591.wav,S,2.705882,2.235294,3.529412,3,Male,Train
244,MSP-PODCAST_0003_0593.wav,C,3.4,2.4,4.8,3,Male,Train
245,MSP-PODCAST_0003_0594.wav,N,3.4,4.0,4.0,3,Male,Train
246,MSP-PODCAST_0003_0600.wav,X,2.8,3.2,3.2,3,Male,Train
247,MSP-PODCAST_0003_0605.wav,N,4.238095,3.761905,4.904762,3,Male,Train
248,MSP-PODCAST_0003_0609.wav,C,4.157895,2.842105,4.789474,3,Male,Train
249,MSP-PODCAST_0003_0613.wav,O,3.2,2.8,4.6,3,Male,Train
250,MSP-PODCAST_0003_0618.wav,X,3.0,5.0,5.2,3,Male,Train
252,MSP-PODCAST_0003_0630.wav,A,5.1,2.8,5.05,3,Male,Train
253,MSP-PODCAST_0003_0631.wav,N,3.916667,3.666667,4.25,3,Male,Train
254,MSP-PODCAST_0003_0635.wav,N,3.0,3.8,3.4,3,Male,Train
266,MSP-PODCAST_0004_0001.wav,X,4.785714,2.714286,4.928571,85,Male,Train
267,MSP-PODCAST_0004_0029.wav,X,4.6,2.6,5.0,85,Male,Train
268,MSP-PODCAST_0004_0036.wav,X,5.0,2.823529,4.941176,85,Male,Train
269,MSP-PODCAST_0004_0065.wav,X,4.4,3.0,4.4,85,Male,Train
270,MSP-PODCAST_0004_0073.wav,X,4.8,4.4,5.0,85,Male,Train
271,MSP-PODCAST_0004_0076.wav,D,5.416667,3.416667,5.5,Unknown,Unknown,Train
272,MSP-PODCAST_0004_0091.wav,U,5.578947,3.210526,5.315789,85,Male,Train
273,MSP-PODCAST_0004_0104.wav,X,4.6,4.4,3.6,85,Male,Train
274,MSP-PODCAST_0004_0114.wav,D,5.2,3.4,4.6,85,Male,Train
275,MSP-PODCAST_0005_0005.wav,C,5.294118,2.705882,5.470588,85,Male,Train
276,MSP-PODCAST_0005_0042.wav,C,5.6,3.6,5.0,85,Male,Train
277,MSP-PODCAST_0005_0044.wav,X,4.2,4.0,4.0,Unknown,Unknown,Train
278,MSP-PODCAST_0005_0055.wav,X,4.4,2.8,5.6,85,Male,Train
279,MSP-PODCAST_0005_0058.wav,H,5.0,5.578947,4.684211,85,Male,Train
280,MSP-PODCAST_0005_0065.wav,A,4.894737,3.105263,4.947368,85,Male,Train
281,MSP-PODCAST_0005_0066.wav,X,4.4,3.6,4.0,85,Male,Train
282,MSP-PODCAST_0005_0083.wav,X,4.2,3.0,4.8,85,Male,Train
283,MSP-PODCAST_0005_0101.wav,C,6.6,3.6,6.2,Unknown,Unknown,Train
284,MSP-PODCAST_0005_0110.wav,X,4.833333,4.166667,4.333333,Unknown,Unknown,Train
285,MSP-PODCAST_0005_0131.wav,N,5.0,4.0,5.2,85,Male,Train
286,MSP-PODCAST_0005_0154.wav,D,4.4,2.8,5.0,85,Male,Train
287,MSP-PODCAST_0005_0182.wav,D,4.4,2.6,4.4,85,Male,Train
288,MSP-PODCAST_0005_0183.wav,D,4.6,2.0,4.6,85,Male,Train
289,MSP-PODCAST_0005_0185.wav,A,5.263158,2.473684,5.842105,85,Male,Train
290,MSP-PODCAST_0005_0187.wav,X,4.2,2.4,4.2,85,Male,Train
291,MSP-PODCAST_0005_0231.wav,C,4.0,3.0,4.4,Unknown,Unknown,Train
296,MSP-PODCAST_0006_0070.wav,N,5.0,5.333333,5.0,Unknown,Unknown,Train
299,MSP-PODCAST_0006_0110.wav,X,4.6,3.4,4.0,Unknown,Unknown,Train
304,MSP-PODCAST_0006_0237.wav,N,2.6,4.0,3.0,Unknown,Unknown,Train
307,MSP-PODCAST_0007_0004.wav,N,4.0,3.833333,4.5,Unknown,Unknown,Train
308,MSP-PODCAST_0007_0017.wav,N,4.842105,3.578947,5.052632,Unknown,Unknown,Train
310,MSP-PODCAST_0008_0067.wav,H,5.666667,5.5,5.416667,Unknown,Unknown,Train
311,MSP-PODCAST_0008_0094.wav,N,3.166667,3.5,3.333333,Unknown,Unknown,Train
312,MSP-PODCAST_0008_0103.wav,A,4.0,2.6,3.8,Unknown,Unknown,Train
313,MSP-PODCAST_0008_0115.wav,N,4.333333,3.833333,3.833333,Unknown,Unknown,Train
314,MSP-PODCAST_0008_0128.wav,N,4.2,4.4,4.8,129,Female,Train
319,MSP-PODCAST_0008_0196.wav,O,5.0,4.4,5.2,Unknown,Unknown,Train
326,MSP-PODCAST_0009_0223.wav,N,4.777778,4.166667,4.777778,Unknown,Unknown,Train
327,MSP-PODCAST_0009_0237.wav,H,4.333333,4.333333,4.666667,Unknown,Unknown,Train
328,MSP-PODCAST_0009_0256.wav,H,5.428571,4.928571,5.142857,Unknown,Unknown,Train
329,MSP-PODCAST_0009_0334.wav,N,3.666667,4.333333,4.0,Unknown,Unknown,Train
331,MSP-PODCAST_0009_0380.wav,X,4.833333,4.166667,4.5,Unknown,Unknown,Train
332,MSP-PODCAST_0010_0001.wav,N,3.166667,4.333333,4.0,Unknown,Unknown,Train
333,MSP-PODCAST_0010_0018.wav,N,4.2,3.6,4.4,Unknown,Unknown,Train
334,MSP-PODCAST_0010_0052.wav,H,4.5,5.722222,5.277778,Unknown,Unknown,Train
335,MSP-PODCAST_0011_0006.wav,X,4.8,3.4,4.8,85,Male,Train
336,MSP-PODCAST_0011_0009.wav,H,4.894737,4.631579,4.947368,85,Male,Train
337,MSP-PODCAST_0011_0030.wav,D,4.0,2.2,4.8,85,Male,Train
338,MSP-PODCAST_0011_0055.wav,H,4.916667,4.916667,5.0,Unknown,Unknown,Train
339,MSP-PODCAST_0011_0060.wav,N,3.4,4.2,4.8,85,Male,Train
340,MSP-PODCAST_0011_0084.wav,X,4.2,3.2,4.8,85,Male,Train
341,MSP-PODCAST_0011_0119.wav,X,4.4,3.8,4.8,85,Male,Train
342,MSP-PODCAST_0011_0132.wav,C,5.0,2.0,4.8,85,Male,Train
343,MSP-PODCAST_0011_0156.wav,N,3.333333,3.333333,3.166667,Unknown,Unknown,Train
344,MSP-PODCAST_0011_0161.wav,C,4.833333,3.5,5.0,Unknown,Unknown,Train
345,MSP-PODCAST_0011_0191.wav,N,4.6,5.0,4.4,85,Male,Train
346,MSP-PODCAST_0011_0200.wav,N,5.4,3.4,5.0,85,Male,Train
347,MSP-PODCAST_0011_0207.wav,A,5.210526,3.578947,5.157895,85,Male,Train
348,MSP-PODCAST_0011_0230.wav,N,4.6,3.2,4.8,85,Male,Train
349,MSP-PODCAST_0011_0274.wav,H,4.833333,5.333333,4.5,Unknown,Unknown,Train
350,MSP-PODCAST_0011_0370.wav,H,5.210526,5.526316,5.315789,85,Male,Train
351,MSP-PODCAST_0011_0378.wav,X,3.2,4.8,4.2,85,Male,Train
352,MSP-PODCAST_0011_0384.wav,N,5.6,4.6,4.8,Unknown,Unknown,Train
353,MSP-PODCAST_0011_0396.wav,N,3.8,4.2,4.8,Unknown,Unknown,Train
354,MSP-PODCAST_0011_0429.wav,A,5.6,3.4,6.0,85,Male,Train
355,MSP-PODCAST_0011_0475.wav,X,4.894737,3.315789,5.0,85,Male,Train
356,MSP-PODCAST_0011_0507.wav,U,5.736842,5.105263,5.157895,85,Male,Train
374,MSP-PODCAST_0012_0067.wav,N,4.0,3.2,4.2,Unknown,Unknown,Train
375,MSP-PODCAST_0012_0069.wav,N,4.166667,4.666667,4.666667,Unknown,Unknown,Train
376,MSP-PODCAST_0012_0073.wav,N,4.0,4.333333,4.333333,Unknown,Unknown,Train
377,MSP-PODCAST_0012_0082.wav,N,3.833333,3.833333,3.833333,Unknown,Unknown,Train
378,MSP-PODCAST_0012_0101.wav,A,4.5,3.333333,4.666667,Unknown,Unknown,Train
379,MSP-PODCAST_0012_0105.wav,N,3.4,4.0,3.8,Unknown,Unknown,Train
381,MSP-PODCAST_0012_0159.wav,N,3.307692,3.076923,4.076923,Unknown,Unknown,Train
382,MSP-PODCAST_0012_0163.wav,A,4.705882,3.647059,4.882353,Unknown,Unknown,Train
388,MSP-PODCAST_0012_0223.wav,N,3.944444,4.444444,4.0,Unknown,Unknown,Train
389,MSP-PODCAST_0012_0226.wav,N,3.8,3.6,3.6,Unknown,Unknown,Train
390,MSP-PODCAST_0012_0254.wav,X,5.0,3.210526,4.631579,Unknown,Unknown,Train
391,MSP-PODCAST_0013_0056.wav,N,3.111111,3.722222,3.666667,415,Male,Train
394,MSP-PODCAST_0013_0216.wav,X,4.5,2.777778,4.388889,415,Male,Train
395,MSP-PODCAST_0013_0234.wav,D,3.117647,2.764706,3.823529,415,Male,Train
396,MSP-PODCAST_0013_0280.wav,H,5.2,4.4,5.2,415,Male,Train
398,MSP-PODCAST_0013_0399.wav,X,4.75,3.0,5.083333,Unknown,Unknown,Train
399,MSP-PODCAST_0013_0432.wav,F,4.8,2.2,5.2,Unknown,Unknown,Train
400,MSP-PODCAST_0013_0481.wav,N,3.0,3.4,4.2,Unknown,Unknown,Train
401,MSP-PODCAST_0013_0500.wav,D,4.333333,2.166667,4.708333,Unknown,Unknown,Train
402,MSP-PODCAST_0013_0504.wav,D,4.6,2.2,4.8,Unknown,Unknown,Train
403,MSP-PODCAST_0013_0563.wav,X,5.0,3.8,5.0,Unknown,Unknown,Train
404,MSP-PODCAST_0013_0575.wav,C,4.947368,2.894737,4.894737,Unknown,Unknown,Train
405,MSP-PODCAST_0014_0004.wav,N,4.8,4.6,5.0,Unknown,Unknown,Train
411,MSP-PODCAST_0014_0038.wav,N,3.8,4.0,4.2,415,Male,Train
412,MSP-PODCAST_0014_0094.wav,N,5.230769,3.846154,4.846154,Unknown,Unknown,Train
413,MSP-PODCAST_0014_0110.wav,N,4.055556,4.055556,4.444444,Unknown,Unknown,Train
414,MSP-PODCAST_0014_0130.wav,D,4.705882,2.705882,5.0,Unknown,Unknown,Train
420,MSP-PODCAST_0014_0245.wav,N,3.6,4.8,4.8,Unknown,Unknown,Train
421,MSP-PODCAST_0014_0251.wav,X,4.833333,4.333333,5.0,Unknown,Unknown,Train
422,MSP-PODCAST_0014_0252.wav,N,4.2,3.6,4.0,1,Male,Train
423,MSP-PODCAST_0014_0284.wav,D,5.6,3.4,5.4,Unknown,Unknown,Train
424,MSP-PODCAST_0014_0286.wav,N,5.0,4.333333,5.166667,Unknown,Unknown,Train
425,MSP-PODCAST_0014_0304.wav,C,5.0,3.153846,5.153846,415,Male,Train
427,MSP-PODCAST_0014_0359.wav,C,4.2,2.8,4.2,394,Female,Train
428,MSP-PODCAST_0014_0361.wav,N,4.2,3.4,4.8,394,Female,Train
429,MSP-PODCAST_0014_0380.wav,N,4.5,3.666667,4.666667,394,Female,Train
430,MSP-PODCAST_0014_0381.wav,C,4.666667,4.333333,5.333333,394,Female,Train
431,MSP-PODCAST_0014_0385.wav,A,4.8,2.2,4.6,394,Female,Train
432,MSP-PODCAST_0014_0391.wav,X,4.928571,3.642857,5.071429,Unknown,Unknown,Train
434,MSP-PODCAST_0014_0411.wav,N,5.25,4.916667,5.333333,394,Female,Train
435,MSP-PODCAST_0014_0413.wav,N,3.6,4.2,3.4,394,Female,Train
436,MSP-PODCAST_0014_0420.wav,X,5.0,4.833333,4.833333,415,Male,Train
437,MSP-PODCAST_0014_0425.wav,N,3.833333,4.0,3.833333,394,Female,Train
438,MSP-PODCAST_0014_0428.wav,N,5.0,4.4,5.0,394,Female,Train
439,MSP-PODCAST_0014_0429.wav,N,5.333333,5.0,5.5,394,Female,Train
440,MSP-PODCAST_0014_0434.wav,N,3.833333,3.333333,4.333333,394,Female,Train
441,MSP-PODCAST_0014_0438.wav,O,4.6,4.6,5.0,394,Female,Train
443,MSP-PODCAST_0014_0457.wav,N,3.0,3.2,3.2,Unknown,Unknown,Train
444,MSP-PODCAST_0014_0505.wav,N,4.833333,3.833333,4.666667,415,Male,Train
445,MSP-PODCAST_0014_0526.wav,N,5.0,4.0,4.666667,85,Male,Train
448,MSP-PODCAST_0014_0597.wav,N,3.4,4.4,4.0,Unknown,Unknown,Train
450,MSP-PODCAST_0014_0650.wav,H,4.25,5.333333,4.583333,415,Male,Train
452,MSP-PODCAST_0015_0293.wav,A,5.2,3.0,5.0,Unknown,Unknown,Train
453,MSP-PODCAST_0015_0304.wav,A,4.642857,4.357143,4.071429,Unknown,Unknown,Train
456,MSP-PODCAST_0015_0397.wav,N,4.5,3.5,4.333333,Unknown,Unknown,Train
472,MSP-PODCAST_0016_0003.wav,H,5.75,5.333333,5.75,Unknown,Unknown,Train
475,MSP-PODCAST_0016_0098.wav,S,5.0,2.2,4.2,415,Male,Train
476,MSP-PODCAST_0016_0103.wav,D,4.916667,3.916667,4.75,415,Male,Train
477,MSP-PODCAST_0016_0169.wav,A,5.0,2.6,5.2,415,Male,Train
479,MSP-PODCAST_0016_0292.wav,H,6.2,4.2,5.8,416,Male,Train
480,MSP-PODCAST_0016_0297.wav,X,4.0,3.4,4.6,415,Male,Train
482,MSP-PODCAST_0016_0307.wav,H,4.307692,5.0,4.615385,415,Male,Train
484,MSP-PODCAST_0016_0352.wav,N,5.111111,4.777778,5.111111,416,Male,Train
485,MSP-PODCAST_0016_0367.wav,D,5.0,3.083333,5.25,416,Male,Train
486,MSP-PODCAST_0016_0398.wav,X,5.0,3.0,4.785714,415,Male,Train
487,MSP-PODCAST_0016_0402.wav,N,4.333333,4.166667,4.0,Unknown,Unknown,Train
488,MSP-PODCAST_0016_0411.wav,C,4.2,3.4,4.6,Unknown,Unknown,Train
489,MSP-PODCAST_0016_0489.wav,A,5.769231,3.153846,4.692308,416,Male,Train
490,MSP-PODCAST_0016_0497.wav,X,5.4,4.0,5.4,416,Male,Train
491,MSP-PODCAST_0018_0117.wav,C,4.315789,2.578947,4.210526,Unknown,Unknown,Train
492,MSP-PODCAST_0018_0127.wav,N,3.0,4.0,3.8,Unknown,Unknown,Train
493,MSP-PODCAST_0018_0142.wav,N,2.6,4.0,3.4,Unknown,Unknown,Train
494,MSP-PODCAST_0018_0204.wav,N,3.0,3.6,2.8,Unknown,Unknown,Train
495,MSP-PODCAST_0019_0039.wav,N,4.166667,3.5,4.0,Unknown,Unknown,Train
496,MSP-PODCAST_0019_0045.wav,X,4.0,3.8,4.6,Unknown,Unknown,Train
497,MSP-PODCAST_0019_0071.wav,N,5.333333,3.833333,5.333333,85,Male,Train
498,MSP-PODCAST_0019_0087.wav,X,3.2,3.4,3.0,115,Male,Train
499,MSP-PODCAST_0019_0217.wav,C,5.583333,3.416667,4.666667,Unknown,Unknown,Train
500,MSP-PODCAST_0019_0231.wav,C,4.6,2.8,5.2,Unknown,Unknown,Train
501,MSP-PODCAST_0019_0269.wav,X,5.0,4.2,4.8,85,Male,Train
502,MSP-PODCAST_0019_0318.wav,C,4.631579,2.473684,4.526316,85,Male,Train
503,MSP-PODCAST_0019_0326.wav,A,5.421053,1.947368,5.368421,85,Male,Train
504,MSP-PODCAST_0019_0328.wav,A,6.5,1.8125,5.9375,85,Male,Train
505,MSP-PODCAST_0019_0332.wav,C,4.8,3.0,4.6,85,Male,Train
506,MSP-PODCAST_0019_0338.wav,A,5.583333,3.5,6.0,85,Male,Train
510,MSP-PODCAST_0020_0266.wav,N,2.8,4.4,4.4,415,Male,Train
511,MSP-PODCAST_0020_0360.wav,N,2.0,4.2,3.8,415,Male,Train
513,MSP-PODCAST_0020_0438.wav,H,4.8,4.6,5.0,Unknown,Unknown,Train
514,MSP-PODCAST_0020_0460.wav,N,2.6,4.0,3.8,Unknown,Unknown,Train
515,MSP-PODCAST_0021_0003.wav,N,4.0,4.0,4.0,546,Male,Train
516,MSP-PODCAST_0021_0004.wav,N,4.0,4.0,4.0,549,Male,Train
517,MSP-PODCAST_0021_0006.wav,N,4.0,5.0,4.0,549,Male,Train
518,MSP-PODCAST_0021_0009.wav,N,3.833333,3.583333,3.75,546,Male,Train
519,MSP-PODCAST_0021_0010.wav,D,4.8,3.6,4.8,549,Male,Train
520,MSP-PODCAST_0021_0013.wav,N,5.0,4.0,4.0,546,Male,Train
521,MSP-PODCAST_0021_0015.wav,N,4.0,5.0,4.0,549,Male,Train
522,MSP-PODCAST_0021_0040.wav,H,4.2,4.0,4.2,546,Male,Train
523,MSP-PODCAST_0021_0048.wav,N,4.0,4.0,4.0,549,Male,Train
524,MSP-PODCAST_0021_0051.wav,N,5.0,4.0,5.0,549,Male,Train
525,MSP-PODCAST_0021_0054.wav,H,5.416667,5.333333,5.25,549,Male,Train
526,MSP-PODCAST_0022_0053.wav,N,2.611111,4.277778,3.222222,547,Male,Train
527,MSP-PODCAST_0023_0001.wav,H,5.230769,5.230769,5.692308,1,Male,Train
528,MSP-PODCAST_0023_0004.wav,N,4.615385,4.615385,4.692308,1,Male,Train
529,MSP-PODCAST_0023_0005.wav,N,4.4,4.4,4.6,1,Male,Train
530,MSP-PODCAST_0023_0006.wav,H,4.333333,4.666667,5.166667,1,Male,Train
531,MSP-PODCAST_0023_0018.wav,H,5.538462,5.230769,5.153846,1,Male,Train
532,MSP-PODCAST_0023_0021.wav,H,5.153846,5.461538,4.615385,1,Male,Train
533,MSP-PODCAST_0023_0044.wav,X,3.833333,5.166667,4.666667,1,Male,Train
534,MSP-PODCAST_0023_0048.wav,N,3.5,3.833333,3.833333,1,Male,Train
535,MSP-PODCAST_0023_0053.wav,U,3.833333,3.5,4.166667,1,Male,Train
536,MSP-PODCAST_0023_0064.wav,H,4.769231,5.769231,4.846154,1,Male,Train
537,MSP-PODCAST_0023_0072.wav,U,4.8,5.0,4.6,Unknown,Unknown,Train
538,MSP-PODCAST_0023_0073.wav,N,4.0,5.0,4.666667,Unknown,Unknown,Train
539,MSP-PODCAST_0023_0078.wav,X,4.8,4.6,4.0,1,Male,Train
540,MSP-PODCAST_0023_0084.wav,X,3.8,5.6,5.0,1,Male,Train
541,MSP-PODCAST_0023_0092.wav,N,4.666667,4.5,4.833333,Unknown,Unknown,Train
542,MSP-PODCAST_0023_0094.wav,H,4.6,5.4,4.8,Unknown,Unknown,Train
543,MSP-PODCAST_0023_0120.wav,X,5.153846,4.230769,4.923077,1,Male,Train
544,MSP-PODCAST_0023_0127.wav,O,5.2,4.4,4.2,1,Male,Train
545,MSP-PODCAST_0023_0134.wav,C,3.8,3.0,3.8,1,Male,Train
546,MSP-PODCAST_0023_0139.wav,N,3.25,3.916667,3.75,Unknown,Unknown,Train
547,MSP-PODCAST_0023_0144.wav,X,3.538462,3.076923,3.923077,1,Male,Train
548,MSP-PODCAST_0023_0148.wav,D,5.153846,3.0,5.153846,1,Male,Train
549,MSP-PODCAST_0023_0154.wav,O,5.333333,4.0,5.0,Unknown,Unknown,Train
550,MSP-PODCAST_0023_0170.wav,U,5.0,4.4,5.2,Unknown,Unknown,Train
551,MSP-PODCAST_0023_0171.wav,C,4.5,3.833333,4.166667,Unknown,Unknown,Train
552,MSP-PODCAST_0023_0172.wav,H,5.166667,4.0,5.333333,Unknown,Unknown,Train
553,MSP-PODCAST_0023_0179.wav,F,4.2,2.2,4.6,1,Male,Train
554,MSP-PODCAST_0023_0184.wav,N,3.4,3.8,3.8,1,Male,Train
555,MSP-PODCAST_0023_0200.wav,N,4.8,5.0,5.0,1,Male,Train
556,MSP-PODCAST_0023_0202.wav,N,3.6,2.8,4.2,1,Male,Train
557,MSP-PODCAST_0023_0205.wav,H,4.6,3.8,4.6,1,Male,Train
558,MSP-PODCAST_0023_0206.wav,N,4.4,3.6,5.0,1,Male,Train
559,MSP-PODCAST_0023_0216.wav,D,4.666667,3.833333,5.333333,Unknown,Unknown,Train
560,MSP-PODCAST_0023_0217.wav,U,4.4,4.0,4.0,1,Male,Train
561,MSP-PODCAST_0023_0218.wav,H,4.6,4.8,4.6,1,Male,Train
562,MSP-PODCAST_0023_0219.wav,X,4.833333,5.5,5.666667,Unknown,Unknown,Train
563,MSP-PODCAST_0023_0220.wav,N,3.6,3.8,5.0,Unknown,Unknown,Train
564,MSP-PODCAST_0023_0221.wav,X,3.8,5.0,5.0,Unknown,Unknown,Train
565,MSP-PODCAST_0023_0222.wav,H,4.769231,5.230769,4.846154,1,Male,Train
566,MSP-PODCAST_0023_0229.wav,H,4.666667,4.833333,3.833333,1,Male,Train
567,MSP-PODCAST_0023_0246.wav,H,4.0,5.2,4.4,1,Male,Train
568,MSP-PODCAST_0023_0247.wav,H,5.692308,5.307692,5.0,1,Male,Train
569,MSP-PODCAST_0023_0248.wav,X,5.538462,3.230769,4.846154,1,Male,Train
570,MSP-PODCAST_0023_0273.wav,A,3.666667,3.5,5.0,1,Male,Train
571,MSP-PODCAST_0023_0278.wav,H,5.076923,5.538462,4.692308,1,Male,Train
572,MSP-PODCAST_0023_0281.wav,H,4.692308,5.230769,5.230769,1,Male,Train
573,MSP-PODCAST_0023_0285.wav,N,4.666667,4.666667,4.666667,1,Male,Train
574,MSP-PODCAST_0023_0318.wav,N,4.4,4.0,3.4,163,Male,Train
575,MSP-PODCAST_0023_0319.wav,N,4.133333,3.6,4.266667,1,Male,Train
576,MSP-PODCAST_0023_0319_0001.wav,C,3.6,2.8,5.2,1,Male,Train
577,MSP-PODCAST_0023_0319_0002.wav,N,4.2,4.6,4.0,1,Male,Train
578,MSP-PODCAST_0023_0320.wav,A,5.0,3.0,4.636364,1,Male,Train
579,MSP-PODCAST_0023_0321.wav,C,5.0,3.6,4.2,1,Male,Train
580,MSP-PODCAST_0023_0322.wav,N,5.4,3.8,5.2,1,Male,Train
581,MSP-PODCAST_0023_0323.wav,N,2.8,3.6,3.2,1,Male,Train
582,MSP-PODCAST_0023_0324.wav,X,4.2,4.6,5.2,1,Male,Train
583,MSP-PODCAST_0023_0325.wav,N,3.333333,3.833333,3.833333,1,Male,Train
584,MSP-PODCAST_0023_0326.wav,N,4.4,4.0,4.8,1,Male,Train
585,MSP-PODCAST_0023_0327.wav,H,4.461538,5.923077,5.076923,1,Male,Train
586,MSP-PODCAST_0023_0328.wav,N,4.666667,3.333333,4.666667,1,Male,Train
587,MSP-PODCAST_0023_0329.wav,N,3.0,3.4,4.2,493,Male,Train
588,MSP-PODCAST_0023_0330.wav,O,3.6,3.6,4.4,1,Male,Train
589,MSP-PODCAST_0023_0331.wav,O,3.6,3.2,4.2,1,Male,Train
590,MSP-PODCAST_0023_0332.wav,N,4.0,3.833333,4.0,1,Male,Train
591,MSP-PODCAST_0023_0333.wav,N,3.2,4.2,4.2,1,Male,Train
592,MSP-PODCAST_0023_0334.wav,X,3.8,3.4,4.6,1,Male,Train
593,MSP-PODCAST_0023_0335.wav,N,5.333333,4.833333,5.416667,1,Male,Train
594,MSP-PODCAST_0023_0336.wav,N,4.6,4.4,4.4,1,Male,Train
595,MSP-PODCAST_0023_0337.wav,H,4.6,6.0,4.8,1,Male,Train
596,MSP-PODCAST_0023_0338.wav,H,4.0,5.6,5.2,1,Male,Train
597,MSP-PODCAST_0023_0339.wav,H,3.9,4.7,4.2,1,Male,Train
598,MSP-PODCAST_0023_0339_0001.wav,N,3.2,4.6,4.2,1,Male,Train
599,MSP-PODCAST_0023_0340.wav,H,5.25,5.5,4.666667,163,Male,Train
600,MSP-PODCAST_0023_0341.wav,N,4.6,5.2,3.4,163,Male,Train
